Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
ARUN PATHAK (GABBAR) ,"
 39
        ","
IND
 ","

Sheshram Pathak
        ","


Others
 Diploma in Journalism Harkishan Mehta Journalism and Institute of mass communication institute , Mithibai college Vileparle Mumbai 12th failed from Gujarat Higher secondary board, 
","19,17,542 ~19 Lacs+ ",Self tdBusiness,Housewife,4
ARUNBHAI DHANJIBHAI SAKARIYA ,"
 41
        ","
BSP
 ","

Dhanjibhai Sakariya
        ","


Graduate
 BLI Science S.G. University Surat 
","1,45,890 ~1 Lacs+ ",Self tdInsurance Agent & Journalist,Online,0
ARUNBHAI MANSUKHLAL PARMAR ,"
 58
        ","
IND
 ","

Mansukhlal Parmar
        ","


8th Pass
 10th Fail From Gujarat Higher Secondary Board
","3,00,000 ~3 Lacs+ ",Self tdBusiness,House Wife,1
ARUNKUMAR KABHAIBHAI GOHIL ,"
 27
        ","
AAP
 ","

Kabhaibhai Gohil
        ","


Others
 ADVFX (Maac Institute)
","24,01,000 ~24 Lacs+ ",Self tdBusiness,NA,0
ARUNSINH AJITSINH RANA ,"
 64
        ","
BJP
 ","

Ajitsinh Rana
        ","


10th Pass
 SSC From Sadanand Vidya Mandir in Year March 1975
","16,34,50,840 ~16 Crore+ ",Self tdAgriculture & Dairy Farm,Agriculture & Dairy Farm & Hotel,0
ARVIND ASHOK SANGHELA ,"
 38
        ","
Gujarat Sarva Samaj Party
 ","

Ashok Sanghela
        ","


Others
 Diploma Civil Engineer Sem. 4 from Tolani Institute and Draftman Civil ITI Gandhidham in Year 2007
","22,000 ~22 Thou+ ",Self tdPvt Service,Housewife,0
ARVIND CHHOTUBHAI PATEL ,"
 55
        ","
BJP
 ","

Chotubhai zhirabhai Patel
        ","


Graduate
 B.A., From Veer Narmad University,Surat Year-1996
","2,66,65,354 ~2 Crore+ ",Self tdFarming,Salary,0
ARVIND SHANTILAL RANA ,"
 61
        ","
BJP
 ","

Shantilal Rana
        ","


12th Pass
 12th Pass From T And T.V. Sarvajanik High School Year 1983
","5,63,33,105 ~5 Crore+ ","Self tdPrinting Work, Stationery General Provider",Stationers-Printers Binders And General Traders,0
ARVINDBHAI JINABHAI LADANI ,"
 60
        ","
INC
 ","

Jinabhai Hansrajbhai Ladani
        ","


12th Pass
 B.Com. (2nd Year) From M.T. Dhamasania College, Rajkot Saurashtra University, Year-1984
","96,11,654 ~96 Lacs+ ",Self tdAgriculture,NA,0
ARVINDBHAI KALUBHAI SOLANKI ,"
 43
        ","
AAP
 ","

Kalubhai Solanki
        ","


8th Pass
 9th Pass From Secondary Board, Gujarat, Year-1994
","2,91,93,919 ~2 Crore+ ",Self tdBusiness Income,NA,0
ARVINDBHAI KESHAVBHAI LADANI ,"
 59
        ","
IND
 ","

Keshavbhai Laxmidas Ladani
        ","


10th Pass
 11th Pass From Shri Dudhabhai Dhanabhai Ladani Vidyalay-Keshod. Year-1980-81
","2,37,33,196 ~2 Crore+ ","Self tdHind Tyres - Partnership, Tulsi Shop-Keshod- Partnership","Hind Tyres - Partnership, Tulsi Shop-Keshod- Partnership, Kurmar Petro-Partnership",0
ARVINDJI ALKHAJI THAKOR ,"
 33
        ","
IND
 ","

Thakor Alkhaji Unaj
        ","


Graduate
 B.A. From Vadnagar Nagrik Co-Op Bank Ltd Arts &amp; Commerce College, Vadnagar H.N.G.U.,Patan Year-2011
","5,41,000 ~5 Lacs+ ",Self tdFarming  &  Animal husbandary,Housewife,0
ARVINDJI JIVANJI THAKOR ,"
 57
        ","
IND
 ","

Jivanji Thakor
        ","


5th Pass
 5th Pass 
","10,00,000 ~10 Lacs+ ",Self tdFarming,Housewife,0
ARVINDKUMAR AMARSHIBHAI GOL ,"
 60
        ","
Rashtriya Hind Ekta Dal
 ","

Amarsinghbhai Dhanjibhai Gol
        ","


10th Pass
 12th Fail, Karansinhji Higher Secondary,Rajkot In 1983
","34,35,000 ~34 Lacs+ ",Self tdLabour Work,Housewife,3
ASARI AMRUTBHAI DHARMABHAI ,"
 40
        ","
Gujarat Nav Nirman Sena
 ","

Dharmabhai Nathbhai
        ","


12th Pass
 12th Pass From Shri Gurudya Vidyavihar, Rellavada, Tal. Meghraj. Year -2001
","40,30,000 ~40 Lacs+ ",Self tdPension,"Monthly Rs.18,000/-",0
ASATARBHAI AGANIBHAI PANJA ,"
 49
        ","
IND
 ","

Agnibhai Panja
        ","


5th Pass
 5th Pass From Taluka School, Veraval, Year-1988
","1,70,000 ~1 Lacs+ ",Self tdBusiness,House Wife,0
ASHABEN VINODBHAI MANGALE ,"
 50
        ","
IND
 ","

Vinodbhai Mangale
        ","


5th Pass
 7th pass Primary Education bhimnagar Udhna Surat
","2,45,000 ~2 Lacs+ ",Self tdSocial worker,NA,0
ASHARAFMIYA SIDIKMIYA KADRI ,"
 55
        ","
IND
 ","

Sidikkimiya Kadri
        ","


Graduate Professional
 B.A, LLB Saurashtra University, AMP Law College Rajkot Year 1995
","32,47,887 ~32 Lacs+ ",Self tdLawyer 80000/- Yearly Income 2/11/2021,NA,0
ASHOK MAHENDRAPRASAD NIMBARK ,"
 54
        ","
Gujarat Nav Nirman Sena
 ","

Mahendraprasad Nimbrak
        ","


5th Pass
 7th Pass DivyaJyot School Viramgam
","27,000 ~27 Thou+ ",Self tdTiffin Service,House wife,0
ASHOK PATEL (ADHEVADA) ,"
 49
        ","
INC
 ","

Vallabhbhai Jivrajbhai Patel
        ","


8th Pass
 9th Pass From Sanatan Dharm Multipurpose Highschool Bhavnagar Year 1987
","2,88,32,716 ~2 Crore+ ",Self tdBusiness,Housewife - Investment,1
ASHOKBHAI CHHOTUBHAI CHAUDHARY ,"
 58
        ","
BSP
 ","

Chotubhai Chaudhari
        ","


Graduate
 B.Com Year 1988, Diploma Performing Arts From M.S University Vadodara Year 2000
","1,62,68,661 ~1 Crore+ ",Self tdPension,Salary,0
ASHOKBHAI GAJERA ,"
 52
        ","
AAP
 ","

Chhaganbhai Gajera
        ","


10th Pass
 10th Year 1986 Gujarat Secondary High School
","83,56,043 ~83 Lacs+ ",Self tdRetail Trading Business,NA,0
ASHOKBHAI LALLUBHAI PATEL (KARATE) ,"
 63
        ","
INC
 ","

Lallubhai Vestabhai Patel
        ","


10th Pass
 S.S.C.Pass From M and R Tata Highschool ,Billimora Year-1979
","44,17,662 ~44 Lacs+ ",Self tdIncome From Contract,Housewife/Parking Stand,0
ASHOKBHAI MANGALBHAI JOLIYA ,"
 44
        ","
AAP
 ","

Mangalbhai Joliya
        ","


5th Pass
 7th Pass from Shri Naip Kumar Pra.Shala, Naip In the Year-1993
","27,35,280 ~27 Lacs+ ",Self tdAmbrodary Job Work,NA,0
ASHOKBHAI MOHANBHAI PATEL ,"
 49
        ","
AAP
 ","

Mohanbhai Patel
        ","


12th Pass
 12th Pass (H.S.C.) From Gujrat Secondary &amp; Higher Secondary Education Board, Gandhrinagar, Shee M.G.Dahale Sarvajanik  School, Sanjan,Year -1994
","68,40,411 ~68 Lacs+ ",Self tdMilk Dairy,Milk Dairy,0
ASHOKBHAI NATUBHAI RATHOD ,"
 38
        ","
Right to Recall Party
 ","

Natubhai Manilal Rathod
        ","


12th Pass
 12th From Shah K.H. Khanpur, Dahegam. Year-2001
","57,15,000 ~57 Lacs+ ",Self tdJob,NA,0
ASHOKBHAI POPATBHAI PARMAR ,"
 25
        ","
Garvi Gujarat Party
 ","

Popatbhai Sedhabhai Parmar
        ","


Graduate
 B.A. March - June - 2017, Shree Sarvodaya Education Foundation Trust Administered B.A./ B.Com. College, Kant (Deesa), Disa, G. Banaskantha (H.N.G.Uni.Patan)
","2,20,591 ~2 Lacs+ ",Self tdFarming,Housewife,0
ASHOKBHAI V. PATEL ,"
 44
        ","
Jan Sewa Driver Party
 ","

Virjibhai Patel
        ","


8th Pass
 10th fail from gujarat board
","51,91,370 ~51 Lacs+ ",Self tdTransport,Nil,0
ASHVIN KOTVAL ,"
 58
        ","
BJP
 ","

Laxmanbhai
        ","


12th Pass
 S.Y. B.A. From St. Xavier College, Gujarat, University, Year -1987
","1,67,11,821 ~1 Crore+ ",Self tdFarming,"Business, Framing ",0
ASHVINBHAI KAMSHUBHAI RATHOD ,"
 45
        ","
INC
 ","

Kamshubhai Rathod
        ","


10th Pass
 SSC Kalopur Sahkari Bank Vidhayalaya Upardal Ahmedabad 1991
","2,41,03,212 ~2 Crore+ ",Self tdAgriculture,House Wife ,0
ASHVINBHAI NATVARBHAI PATEL (KAKA) ,"
 69
        ","
BJP
 ","

Natvarbhai Patel
        ","


Graduate
 B.A From M.H. University, Vadodara. Year-1977
","18,51,16,000 ~18 Crore+ ",Self tdFarming And  Rent income,Farming And  Rent income,0
ASHVINKUMAR HARIBHAI TUNDIYA ,"
 40
        ","
IND
 ","

Haribhai Vastabhai Tundiya
        ","


10th Pass
 10th Pass from Sheth RA High School Derdi Kumbhaji Gondal, Rajkot
","1,67,000 ~1 Lacs+ ",Self td140000 Yearly Income,NA,0
ASLAM FIROZBHAI CYCLEWALA ,"
 44
        ","
INC
 ","

Ferozbhai Abdul Heman Cyclewala
        ","


10th Pass
 10th Pass from Simba High School Gujarati Medium in 1994
","23,55,000 ~23 Lacs+ ","Self tdBusiness, Galaxy Corporation ",NA,4
AYAR MULUBHAI HARDASBHAI BERA ,"
 57
        ","
BJP
 ","

Hardasbhai Kebhbhai Bera
        ","


10th Pass
 10th From Gram Panchayat School, Verad,Bhanwad in Year 1983
","5,93,58,379 ~5 Crore+ ",Self tdAgriculture,Housewife,0
AYAZ KAZI ,"
 37
        ","
BSP
 ","

Hasruddin Kazi
        ","


Illiterate
 Illeterate
","1,40,000 ~1 Lacs+ ",Self tdBusiness (Security Service Provider),No,0
AZIM SAIYAD ,"
 41
        ","
IND
 ","

Kalim Saiyad
        ","


5th Pass
 7th Pass Nagar Primary School, 196 Limbayat Surat Year 1996
","23,800 ~23 Thou+ ",Self tdIncome From Labor,Housewife,0
BABUBHAI BHALABHAI BABARIYA ,"
 57
        ","
IND
 ","

Bhalabhai Babariya
        ","


12th Pass
 12th Pass Science
","10,15,000 ~10 Lacs+ ",Self tdFrom Agriculture Land,Housewife,0
BABUBHAI BHIMABHAI BOKHIRIYA ,"
 69
        ","
BJP
 ","

Bhimabhai Jodhabhai Bokhiriya
        ","


Graduate
 B.Sc(Chemistry) From Saurashtra University in Year 1974
","26,82,41,185 ~26 Crore+ ","Self tdAgriculture, Transport, Contractor, Land Developers","Agriculture, Transport, and Other",0
BABUBHAI HIRABHAI DAMOR ,"
 47
        ","
IND
 ","

Hirabhai Damor 
        ","


Graduate
 B.A (Sanskrit) From Gujarat University C.R Gardi Arts Collage 
","78,32,835 ~78 Lacs+ ",Self tdRetired LIC Branch Manager Pension & Agriculture,Agriculture and Housewife,0
BABUBHAI JAMNADAS PATEL ,"
 74
        ","
BJP
 ","

Jamanadas Joitaram Patel 
        ","


10th Pass
  OLD SSC Shri B R Patel Nutan Fellowship Highschool , Navrangpura, Amhedabad In Year 1967
","61,47,89,929 ~61 Crore+ ",Self tdSocial worker ,Agriculture & Housewife ,1
BABUBHAI KALABHAI VAJA ,"
 70
        ","
INC
 ","

Kalabhai Chinabhai Vaja
        ","


10th Pass
 Old SSC Pass From Govt. Higher Secondary School, Chorwad, Year-1969
","82,85,924 ~82 Lacs+ ",Self tdFarming,House Wife,0
BABUBHAI VIRABHAI PARMAR ,"
 49
        ","
IND
 ","

Virabhai Bijalbhai Parmar
        ","


8th Pass
 8th Pass Primary School
","99,06,473 ~99 Lacs+ ",Self tdFarming,Housewife,0
BABUSINH SARABHAI JADAV ,"
 64
        ","
BJP
 ","

Sarabhai Jadav
        ","


10th Pass
 SSC Old (11th) From The Nuera High School Sanand Gujarat Secondary School Certificate Examination Board, Year-1974 &amp; Welder From ITI Kubernagar Naroda, Ahmedabad, Year-1977
","1,44,78,101 ~1 Crore+ ",Self tdBusiness & Computer Job Work,Farming,0
BABUSINHJI MOHANSINHJI THAKOR ,"
 62
        ","
INC
 ","

Mohansingh Revabha Thakur
        ","


12th Pass
 T.Y.B.A. From Gujrat University ,Ahmadabad,Year-July 1982
","1,12,74,961 ~1 Crore+ ",Self tdFarming,Housewife,0
BACHUBHAI GUMANBHAI CHAUDHARI ,"
 48
        ","
Bhartiya Tribal Party
 ","

GumanBhai Chaudhari 
        ","


5th Pass
 7th Pass From Primary School Devgadh Taluka-mandvi District Surat In Year 1990
","1,65,000 ~1 Lacs+ ",Self td70000,NIL,0
BADAM MO.SAID YUSUF ,"
 42
        ","
IND
 ","

Badam Yusuf
        ","


5th Pass
 6th Std, From the Iqbal Primary School
","5,04,35,000 ~5 Crore+ ",Self tdFarming,Housewife,1
BAGHEL RAJESH VISHVANATHSINGH ,"
 44
        ","
Vikas India Party
 ","

Vishwanath Baghel
        ","


Graduate Professional
 LLB from M.N. Law college in 2008
","4,77,064 ~4 Lacs+ ",Self tdAdvocate,Not Applicable,1
BAHADURSING DEVJIBHAI VASAVA ,"
 48
        ","
Bhartiya Tribal Party
 ","

Devjibhai  NarsinghbhaiVasava
        ","


12th Pass
 12th Pass From  V.K Zaveri Sadhana School Bharuch Year-1993 
","44,10,470 ~44 Lacs+ ",Self tdAgriculture & Business,Housewife,2
BAHECHARSINH HARISINH RATHOD ,"
 58
        ","
INC
 ","

Harisingh Rathod 
        ","


12th Pass
 12th Pass From Gujarat High Secondary Education Board , Gandhi nagar In Year 1992
","8,11,70,903 ~8 Crore+ ",Self tdAgriculture,Agriculture,0
BAKROLIYA MOHAMADADNAN ABDULMAJIDBHAI ,"
 30
        ","
IND
 ","

Abdulmajid Bakroliya
        ","


12th Pass
 Std.12th Pass, From Gujrat Secondary &amp; Higher Secondary Education Board,Gandhinagar
","31,166 ~31 Thou+ ",Self tdLabour,NA,0
BALDEV MAVJIBHAI SOLANKI ,"
 35
        ","
INC
 ","

Mavjibhai Chaganbhai Solanki
        ","


Graduate
 B.A. in 2018 Bhavnagar University
","7,32,539 ~7 Lacs+ ",Self tdPrivate Job,Housewife,0
BALDEVJI CHANDUJI THAKOR ,"
 59
        ","
INC
 ","

Chanduji Thakor
        ","


Graduate
 T.Y.B.Com From H K Commerce College, Ahmedabad Gujarat University Year 1987
","13,32,87,356 ~13 Crore+ ","Self tdFarming, Animal Husbandry & Income From MLA","Housewife, Animal Husbandry & Rent Income",0
BALDEVSINH UDESINH PARMAR ,"
 58
        ","
IND
 ","

Udesinh Parmar
        ","


Post Graduate
 M.Sc. Agriculture From Bagayat Gujrat,Agricultural University ,Anand Year-1989
","1,10,03,312 ~1 Crore+ ",Self tdNA,NA,0
BALKRISHNABHAI NARANBHAI PATEL (DHOLAR) ,"
 67
        ","
INC
 ","

Naranbhai Patel
        ","


10th Pass
 S.S.C Old Pass (58%) From Dadabhai Navroji Highschool, Aanand. Year-1973
","9,75,79,133 ~9 Crore+ ","Self tdFarming, Business, Cotton Jinning Pressing, Construction","Farming, Business, Cotton Jinning Pressing",0
BALKRUSHNA KHANDERAO SHUKLA (BALU SHUKLA) ,"
 59
        ","
BJP
 ","

khanderao Shukla
        ","


Post Graduate
 MBA From Manav Sandadhan , The Maharaja Sayajirao University Vadodara. Year-2010
","3,89,18,575 ~3 Crore+ ","Self tdAdministrative Consultant, Siloksh India Pvt. Ltd, Interest And Pensioner","1)Invo Project Consultant (50%) 2) Suruya InternatioInal LLP (50%), Interest",0
BALOCH HASANKHAN DAYAMKHAN ,"
 44
        ","
IND
 ","

Dayamkhan Baloch
        ","


Illiterate
 illiterate
","8,40,000 ~8 Lacs+ ",Self tdLabour,Housewife,2
BALOCH JALAMKHAN KAYAMKHAN ,"
 48
        ","
IND
 ","

Balaoch Kayamkhan Gulsherdpahad
        ","


Illiterate
 Illiterate
","16,50,000 ~16 Lacs+ ",Self tdFarming & Housewife,Housewife,0
BALVANTBHAI NATHUBHAI SHEKHVA ,"
 52
        ","
IND
 ","

Nathubhai Talabhai
        ","


Literate
 2nd Pass from Jawar Primary School in Year 1982
","17,02,000 ~17 Lacs+ ",Self tdRikshaw Driver,Housewife,0
BALVANTSINH CHANDANSINH RAJPUT ,"
 61
        ","
BJP
 ","

Chandansingh Rajput
        ","


Graduate
 B.A From Barkat District University, Bhopal, Madhya Pradesh Year 2013
","3,72,65,34,801 ~372 Crore+ ","Self tdBusiness, Farming & Rent Income","Business, Farming & Rent Income",0
BALVANTSINH HEMANTSANG GADHAVI ,"
 48
        ","
INC
 ","

Mavaljibhai Gadhvi
        ","


12th Pass
 F.Y.Bcom From H.K.Commerce College Gujrat University, Year-1990,H.S.C.From A.K.Vidyamandir,Bavala G.H.S.V.E Year-1992, SSC From A.K.Vidyamandir Bavala G.S.E.V Year-1993
","28,82,68,646 ~28 Crore+ ",Self tdLand Broker & Farming,Business & Farming,0
BALWANT SHANTILAL JAIN ,"
 49
        ","
INC
 ","

Shantilal Jalamchand Jain
        ","


12th Pass
 B.Com 2nd Year From Navyug Commerce College, Adajan, Surat Year 1992
","2,19,31,426 ~2 Crore+ ",Self tdInnovation Syndicate,NA,0
BAMBA TOGABHAI PUNAMBHAI ,"
 37
        ","
Gujarat Nav Nirman Sena
 ","

Punanbhai
        ","


Graduate
 Sardar Patel University Vallabh Vidhyanagar Year-2022
","72,88,000 ~72 Lacs+ ",Self td 30947 P.M,NA,0
BAMBHANIYA VALLABHBHAI RATNABHAI ,"
 46
        ","
IND
 ","

BAMBHANIYA RATNABHAI KHODABHAI
        ","


5th Pass
 7 pass Year 199  Gnanjayot high school Mota Asrana  Dist. Bhavnagar
","92,500 ~92 Thou+ ",Self tdFarming ,House wife,0
BAPUBHAI NANABHAI KHALANE ,"
 44
        ","
IND
 ","

Nanabhai Asharam Khalane
        ","


10th Pass
 Studied Upto 10th Class from Shaskiya Balak Higher Secondary School Badwani in 1997
","72,000 ~72 Thou+ ",Self tdAgents and Security Guard Free Labour,House Wife ,1
BARAIYA GOBARBHAI KANJIBHAI ,"
 51
        ","
Vyavastha Parivartan Party
 ","

Kanjibhai
        ","


Literate
 4th Pass Primary school, Khun , Takuka Dholera.
","45,33,000 ~45 Lacs+ ",Self tdFarming ,Housewife,1
BARAT ANANDBHAI DUBIYABHAI ,"
 45
        ","
CPI(ML)(L)
 ","

Dubiyabhai gopubhai
        ","


Literate
 3rd Pass From Vaghvad Primary school, year-1986
","15,55,186 ~15 Lacs+ ","Self tdFarming, Labour",Farming,0
BARIA NARESHBHAI PUNABHAI ,"
 40
        ","
AAP
 ","

Punabhai
        ","


Graduate
 B.A. From Gujarat University, Year-2016 &amp; C.P. Ed. From Chotubhai Purani College of Physical Education, Rajpipla, Year-1999
","22,72,350 ~22 Lacs+ ",Self tdFarming,Job,2
BASIRBHAI SIDIKBHAI SAMA ,"
 54
        ","
IND
 ","

Sidikbhai Sama
        ","


5th Pass
 5th Pass From Bangla Primary School Lalpur Year 1978
","12,05,700 ~12 Lacs+ ",Self tdSelling Fish,Fishing Net Business,0
BATHWAR SURESHKUMAR KARSHANBHAI ,"
 54
        ","
INC
 ","

Karshanbhai Jivabhai Bathwar
        ","


Graduate Professional
 B.E. (Electrical) From L.E. Engineering College Morbi, Saurashtra University, Rajkot
","3,07,22,894 ~3 Crore+ ",Self tdBusiness & Farming,Service,0
BAVALIYA JAYESHBHAI BHAGVANBHAI ,"
 33
        ","
IND
 ","

Bavaliya Bhagvanbhai Laxmanbhai
        ","


5th Pass
 8th failed in 2006 from The Janmabhoomi High School Ranpur
","8,10,000 ~8 Lacs+ ",Self tdStitching Wages,Stitching Wages,0
BELIM SIKANDAR HUSENBHAI ,"
 39
        ","
IND
 ","

Husainbhai Manjibhai Belim
        ","


8th Pass
 9th Pass From Shri Ravi Vidyalay Madhapar Rajkot
","11,46,820 ~11 Lacs+ ",Self td72000,NA,0
BHABHOR SHAILESHBHAI SUMANBHAI ,"
 42
        ","
BJP
 ","

Sumanbhai Bhabhor
        ","


Post Graduate
 MA Pass from Sardarpatel university vallabh vidhanagar in 2004, B.A. Pass from  Sardarpatel university (N.A. and T.V. Patel arts vidhangar  2001
","1,14,51,198 ~1 Crore+ ","Self tdSalary,  Animal husbandry, Agriculture","Spouse 1 Job, Spouse 2 Nil, spouse 3 Nil",0
BHACHUBHAI DHARAMSHI AARETHIYA ,"
 55
        ","
INC
 ","

Dharamshi Arethiya 
        ","


10th Pass
 11th Pass from Shree Sarkari Higher Secondary School, Rapar Kutch
","97,48,74,784 ~97 Crore+ ",Self tdBusiness & Agriculture,Business & Employement,2
BHAGABHAI DHANABHAI BARAD ,"
 63
        ","
BJP
 ","

Danabhai Mandabhai Barad
        ","


Graduate
 B.Com From Saurashtra University, Chauksi Arts And Commerce Collage-Veravel, Year 1992 
","12,47,39,689 ~12 Crore+ ",Self tdBusiness (Raj Pipe Industries Partnership) Aajontha,Housewife,0
BHAGVANBHAI HAJABHAI PATEL ,"
 60
        ","
BJP
 ","

Hajabhai Patel
        ","


Graduate
 B.Com From GD Modi College Palanpur Gujarat University Ahmedabad Year 1983, 12th Pass From Government Highschool Palanpur Gujarat Secondary And Higher Secondary Educaion Board Gandhinagar Year 1980
","1,47,20,693 ~1 Crore+ ",Self tdAnimal Husbandry & Business,Housewife,1
BHAGVANJI H. THOBHANI ,"
 56
        ","
IND
 ","

Hemraj Bhai
        ","


8th Pass
 SSC Fail Salaya Secondary School in 1983
","4,97,500 ~4 Lacs+ ",Self tdTanti Newspaper,House wife,1
BHAILALBHAI KALUBHAI PANDAV ,"
 40
        ","
BSP
 ","

Kalubhai Pandav
        ","


10th Pass
 SSC From North Buniyadi Vidyalaya Gundi Taluka Dholka Dist Ahmedabad Year-1998
","18,30,000 ~18 Lacs+ ",Self tdAgriculture ,Housewife,0
BHALIYA KHIMJIBHAI HAKABHAI ,"
 50
        ","
BSP
 ","

Hakabhai Nathubhai Bhaliya
        ","


5th Pass
 5th Shree beela Kendravati School
","1,18,195 ~1 Lacs+ ",Self tdLabour,House wife ,0
BHANABHAI MANSUKHBHAI DAMOR ,"
 48
        ","
AAP
 ","

Mansukhbhai Damor
        ","


Graduate Professional
 B.P.Ed From Amravati University,Year 2001
","25,31,300 ~25 Lacs+ ",Self tdFarming,NA,0
BHANUBEN MANOHARBHAI BABARIYA ,"
 47
        ","
BJP
 ","

Manoharbhai Madhubhai Babariya
        ","


Graduate
 B.A from Kansagara College Rajkot, Saurashtra University, LLB (1st Year Completed) from D.D.K. Law College, Porbandar In 2001
","2,79,89,092 ~2 Crore+ ",Self tdCorporation(Salary) ,Agriculture and Construction ,0
BHANUSHALI SURESH MANJI MANGE ,"
 46
        ","
IND
 ","

Mange Manji
        ","


8th Pass
 10th Fail From Ramji Assar High School Ghatkopar 
","23,19,200 ~23 Lacs+ ",Self tdAgriculture,Not Applicable,0
BHARAT JAIN ,"
 34
        ","
Jan Sewa Driver Party
 ","

Kantilal Jain
        ","


5th Pass
 7th pass from Rajkiya Higher secondary school udaipur 2000
","6,02,449 ~6 Lacs+ ",Self tdAuto Rickshaw driver,Labour contractor,0
BHARAT NAKARANI ,"
 37
        ","
AAP
 ","

Jethabhai Nakarani
        ","


5th Pass
 6th Pass Year-1998 From Nagar Primary Education Society-Savarkundla
","1,60,750 ~1 Lacs+ ",Self tdBusiness,NA,0
BHARAT ROHIT (BABA) ,"
 42
        ","
BSP
 ","

Rohit Mahijibhai
        ","


12th Pass
 12th Pass From HSHEB Shri Mastram Vidhyamandir Tilakwada Narmada Year 2003
","25,22,948 ~25 Lacs+ ",Self tdLIC Commission,Housewife,0
BHARATBHAI B. PATEL ,"
 54
        ","
CPI(M)
 ","

Babubhai Kharelia
        ","


5th Pass
 7th From Gujarati School-Surat, Year-1985
","4,15,000 ~4 Lacs+ ",Self tdFarming,NA,0
BHARATBHAI KIKUBHAI PATEL ,"
 64
        ","
BJP
 ","

Kikubhai Bhikhabhai Patel
        ","


Post Graduate
 M.Sc. from South Gujrat University Surat May-1982
","3,14,04,528 ~3 Crore+ ",Self tdFarming and Business (Shivansh Enterprise),Farming,0
BHARATBHAI MAVJIBHAI CHAVDA ,"
 55
        ","
IND
 ","

Mavjibhai Chavda
        ","


5th Pass
 6th Pass From Kangashiyali Primary School Lodhika Rajkot
","3,41,308 ~3 Lacs+ ",Self tdLabor,Labor,0
BHARATBHAI VELJIBHAI SOLANKI ,"
 42
        ","
INC
 ","

Vejibhai Solanki
        ","


8th Pass
 9th Pass, Sardar Vallabhbhai Patel, Gujarat School, Gandhidham, Kachchh
","1,52,13,397 ~1 Crore+ ",Self tdSalt Business And Farming ,NA,0
